trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
1MT_0715,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_0755,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_0835,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_0915,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_0955,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1035,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1115,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1155,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1235,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1315,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1355,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1435,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1515,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1555,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1635,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1715,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
1MT_1755,7703,2432,A East,Route 1,0,23078 23078 157618,1,1,,
2MT_0715,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_0755,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_0835,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_0915,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_0955,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1035,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1115,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1155,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1235,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1315,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1355,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1435,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1515,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1555,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1635,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1715,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
2MT_1755,7704,2432,Sun,Route 2,0,23079 23079 157619,1,1,,
3MT_0715,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_0755,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_0835,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_0915,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_0955,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1035,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1115,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1155,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1235,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1315,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1355,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1435,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1515,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1555,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1635,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1715,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
3MT_1755,7705,2432,Ath W/Th Dr,Route 3,0,23080 23080 157620,1,1,,
4MT_0715,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_0755,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_0835,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_0915,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_0955,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1035,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1115,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1155,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1235,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1315,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1355,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1435,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1515,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1555,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1635,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1715,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
4MT_1755,7706,2432,Westmount,Route 4,0,23081 23081 157621,1,1,,
